"Species","Impacted_sector","Type_of_cost_merged","Official_country","Location","Taxon","ScientificName","genus","Population_2019","Surface_area_km2","Density_2019","GDP_2019","Neighbouring_countries","Km_land_borders","Agri_forest_fish_perc_gdp","Industry_perc_gdp","Manufacturing_perc_gdp","Services_perc_gdp","Forest_rents_perc_gdp","Forest_area_perc_landarea","Health_expend_perc_gdp"
"Azolla filiculoides","Authorities-Stakeholders","Management","Belgium","Belgium","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",11484055,30530,376.16,5.3e+11,4,1385,0.7,19.2,12.3,69.4,0,22.8,10.7
"Azolla filiculoides","Authorities-Stakeholders","Management","Italy","Italy","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Azolla filiculoides","Authorities-Stakeholders","Management","Netherlands","Netherlands","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",17332850,41540,417.26,9.09e+11,2,1027,1.6,17.6,10.8,70,0,10.9,10.1
"Azolla filiculoides","Authorities-Stakeholders","Management","Bulgaria","Bulgaria","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",6975761,111000,62.84,67927179737,5,1808,3.2,21.7,NA,61.4,0.2,35.7,7.1
"Azolla filiculoides","Authorities-Stakeholders","Management","Slovenia","Slovenia","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",2087946,20675,100.99,53742159517,4,1334,2,29,20.7,56.6,0.2,61.6,8.5
"Azolla filiculoides","Authorities-Stakeholders","Management","Sweden","Sweden","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",10285453,447430,22.99,5.31e+11,2,2233,1.4,21.9,12.8,65.5,0.2,68.7,10.9
"Azolla filiculoides","Authorities-Stakeholders","Management","Luxembourg","Luxembourg","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",619896,2590,239.34,71104919108,3,359,0.2,11.7,4.9,78.8,0,34.5,5.4
"Azolla filiculoides","Authorities-Stakeholders","Management","Denmark","Denmark","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",5818553,42920,135.57,3.48e+11,1,68,1.2,21.2,13.7,64.7,0,15.7,10
"Azolla filiculoides","Authorities-Stakeholders","Management","Poland","Poland","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",37970874,312680,121.44,5.92e+11,7,2788,2.3,28,16.5,57.6,0.2,30.9,6.4
"Azolla filiculoides","Authorities-Stakeholders","Management","Spain","Spain","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",47076781,505935,93.05,1.39e+12,5,1918,2.6,20.1,11,67.9,0,37.2,9.1
"Azolla filiculoides","Authorities-Stakeholders","Management","Croatia","Croatia","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",4067500,56590,71.88,60415553039,5,1365,2.9,20,11.9,59.5,0.2,34.6,7
"Azolla filiculoides","Authorities-Stakeholders","Management","Germany","Germany","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",83132799,357580,232.49,3.85e+12,9,3621,0.8,27,19.4,62.3,0,32.7,11.7
"Azolla filiculoides","Authorities-Stakeholders","Management","Portugal","Portugal","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",10269417,92225.5957,111.35,2.38e+11,1,1214,2.1,18.8,11.9,65.6,0.1,36.2,9.5
"Azolla filiculoides","Authorities-Stakeholders","Management","Czechia","Czech Republic","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",10669709,78870,135.28,2.46e+11,4,1881,1.9,31.5,22.6,57,0.3,34.7,7.8
"Azolla filiculoides","Authorities-Stakeholders","Management","Greece","Greece","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",10716322,131960,81.21,2.1e+11,4,1228,3.8,13.3,8,69.5,0,30.3,7.8
"Azolla filiculoides","Authorities-Stakeholders","Management","Hungary","Hungary","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",9769949,93030,105.02,1.61e+11,7,2171,3.3,24.8,17.5,56.5,0.1,22.5,6.4
"Azolla filiculoides","Authorities-Stakeholders","Management","Ireland","Ireland","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",4941444,70280,70.31,3.89e+11,1,499,0.9,35.9,32,57.3,0,11.3,6.7
"Azolla filiculoides","Authorities-Stakeholders","Management","Slovakia","Slovakia","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",5454073,49030,111.24,1.05e+11,5,1524,1.7,29.6,19.7,58.1,0.2,40.1,7
"Azolla filiculoides","Authorities-Stakeholders","Management","France","France","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Azolla filiculoides","Authorities-Stakeholders","Management","Romania","Romania","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",19356544,238400,81.19,2.5e+11,5,2508,4.1,27,17,59.3,0.2,30.1,5.7
"Azolla filiculoides","Authorities-Stakeholders","Management","Italy","Italy","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Belgium","Belgium","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",11484055,30530,376.16,5.3e+11,4,1385,0.7,19.2,12.3,69.4,0,22.8,10.7
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Italy","Italy","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Netherlands","Netherlands","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",17332850,41540,417.26,9.09e+11,2,1027,1.6,17.6,10.8,70,0,10.9,10.1
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Bulgaria","Bulgaria","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",6975761,111000,62.84,67927179737,5,1808,3.2,21.7,NA,61.4,0.2,35.7,7.1
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Slovenia","Slovenia","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",2087946,20675,100.99,53742159517,4,1334,2,29,20.7,56.6,0.2,61.6,8.5
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Sweden","Sweden","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",10285453,447430,22.99,5.31e+11,2,2233,1.4,21.9,12.8,65.5,0.2,68.7,10.9
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Luxembourg","Luxembourg","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",619896,2590,239.34,71104919108,3,359,0.2,11.7,4.9,78.8,0,34.5,5.4
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Denmark","Denmark","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",5818553,42920,135.57,3.48e+11,1,68,1.2,21.2,13.7,64.7,0,15.7,10
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Poland","Poland","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",37970874,312680,121.44,5.92e+11,7,2788,2.3,28,16.5,57.6,0.2,30.9,6.4
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Spain","Spain","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",47076781,505935,93.05,1.39e+12,5,1918,2.6,20.1,11,67.9,0,37.2,9.1
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Croatia","Croatia","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",4067500,56590,71.88,60415553039,5,1365,2.9,20,11.9,59.5,0.2,34.6,7
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Germany","Germany","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",83132799,357580,232.49,3.85e+12,9,3621,0.8,27,19.4,62.3,0,32.7,11.7
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Portugal","Portugal","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",10269417,92225.5957,111.35,2.38e+11,1,1214,2.1,18.8,11.9,65.6,0.1,36.2,9.5
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Czechia","Czech Republic","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",10669709,78870,135.28,2.46e+11,4,1881,1.9,31.5,22.6,57,0.3,34.7,7.8
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Greece","Greece","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",10716322,131960,81.21,2.1e+11,4,1228,3.8,13.3,8,69.5,0,30.3,7.8
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Hungary","Hungary","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",9769949,93030,105.02,1.61e+11,7,2171,3.3,24.8,17.5,56.5,0.1,22.5,6.4
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Ireland","Ireland","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",4941444,70280,70.31,3.89e+11,1,499,0.9,35.9,32,57.3,0,11.3,6.7
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Slovakia","Slovakia","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",5454073,49030,111.24,1.05e+11,5,1524,1.7,29.6,19.7,58.1,0.2,40.1,7
"Azolla filiculoides","Authorities-Stakeholders","Mixed","France","France","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Romania","Romania","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",19356544,238400,81.19,2.5e+11,5,2508,4.1,27,17,59.3,0.2,30.1,5.7
"Azolla filiculoides","Authorities-Stakeholders","Mixed","Italy","Italy","Azolla filiculoides","Azolla filiculoides Lam.","Azolla",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Bursaphelenchus mucronatus","Authorities-Stakeholders","Management","Netherlands","Netherlands","Bursaphelenchus mucronatus","Bursaphelenchus mucronatus Mamiya & Enda, 1979","Bursaphelenchus",17332850,41540,417.26,9.09e+11,2,1027,1.6,17.6,10.8,70,0,10.9,10.1
"Bursaphelenchus mucronatus","Authorities-Stakeholders","Management","Spain","Spain","Bursaphelenchus mucronatus","Bursaphelenchus mucronatus Mamiya & Enda, 1979","Bursaphelenchus",47076781,505935,93.05,1.39e+12,5,1918,2.6,20.1,11,67.9,0,37.2,9.1
"Bursaphelenchus mucronatus","Authorities-Stakeholders","Management","Portugal","Portugal","Bursaphelenchus mucronatus","Bursaphelenchus mucronatus Mamiya & Enda, 1979","Bursaphelenchus",10269417,92225.5957,111.35,2.38e+11,1,1214,2.1,18.8,11.9,65.6,0.1,36.2,9.5
"Bursaphelenchus mucronatus","Authorities-Stakeholders","Management","France","France","Bursaphelenchus mucronatus","Bursaphelenchus mucronatus Mamiya & Enda, 1979","Bursaphelenchus",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Cameraria ohridella","Authorities-Stakeholders","Management","Romania","Romania","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",19356544,238400,81.19,2.5e+11,5,2508,4.1,27,17,59.3,0.2,30.1,5.7
"Cameraria ohridella","Authorities-Stakeholders","Management","Luxembourg","Luxembourg","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",619896,2590,239.34,71104919108,3,359,0.2,11.7,4.9,78.8,0,34.5,5.4
"Cameraria ohridella","Authorities-Stakeholders","Management","Belgium","Belgium","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",11484055,30530,376.16,5.3e+11,4,1385,0.7,19.2,12.3,69.4,0,22.8,10.7
"Cameraria ohridella","Authorities-Stakeholders","Management","Ireland","Ireland","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",4941444,70280,70.31,3.89e+11,1,499,0.9,35.9,32,57.3,0,11.3,6.7
"Cameraria ohridella","Authorities-Stakeholders","Management","Spain","Spain","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",47076781,505935,93.05,1.39e+12,5,1918,2.6,20.1,11,67.9,0,37.2,9.1
"Cameraria ohridella","Authorities-Stakeholders","Management","Netherlands","Netherlands","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",17332850,41540,417.26,9.09e+11,2,1027,1.6,17.6,10.8,70,0,10.9,10.1
"Cameraria ohridella","Authorities-Stakeholders","Management","Slovenia","Slovenia","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",2087946,20675,100.99,53742159517,4,1334,2,29,20.7,56.6,0.2,61.6,8.5
"Cameraria ohridella","Authorities-Stakeholders","Management","France","France","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Cameraria ohridella","Authorities-Stakeholders","Management","Austria","Austria","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",8877067,83879.00391,105.83,4.46e+11,8,2562,1.1,25.1,16.5,63.2,0.1,47.2,10.4
"Cameraria ohridella","Authorities-Stakeholders","Management","Hungary","Hungary","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",9769949,93030,105.02,1.61e+11,7,2171,3.3,24.8,17.5,56.5,0.1,22.5,6.4
"Cameraria ohridella","Authorities-Stakeholders","Management","Sweden","Sweden","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",10285453,447430,22.99,5.31e+11,2,2233,1.4,21.9,12.8,65.5,0.2,68.7,10.9
"Cameraria ohridella","Authorities-Stakeholders","Management","Czechia","Czech Republic","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",10669709,78870,135.28,2.46e+11,4,1881,1.9,31.5,22.6,57,0.3,34.7,7.8
"Cameraria ohridella","Authorities-Stakeholders","Management","Slovakia","Slovakia","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",5454073,49030,111.24,1.05e+11,5,1524,1.7,29.6,19.7,58.1,0.2,40.1,7
"Cameraria ohridella","Authorities-Stakeholders","Management","Estonia","Estonia","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",1326590,45340,29.26,31386949981,2,633,2.5,23,13.1,61.3,0.9,57,6.7
"Cameraria ohridella","Authorities-Stakeholders","Management","Lithuania","Lithuania","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",2786844,65286.00098,42.69,54219315600,4,1273,3.1,25.2,16.1,61.5,0.3,35.1,7
"Cameraria ohridella","Authorities-Stakeholders","Management","Greece","Greece","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",10716322,131960,81.21,2.1e+11,4,1228,3.8,13.3,8,69.5,0,30.3,7.8
"Cameraria ohridella","Authorities-Stakeholders","Management","Liechtenstein","Liechtenstein","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",38019,160,237.62,6552858739,2,76,0.1,44.2,38.7,52.2,0,41.9,NA
"Cameraria ohridella","Authorities-Stakeholders","Management","Denmark","Denmark","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",5818553,42920,135.57,3.48e+11,1,68,1.2,21.2,13.7,64.7,0,15.7,10
"Cameraria ohridella","Authorities-Stakeholders","Management","Italy","Italy","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Cameraria ohridella","Authorities-Stakeholders","Management","Croatia","Croatia","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",4067500,56590,71.88,60415553039,5,1365,2.9,20,11.9,59.5,0.2,34.6,7
"Cameraria ohridella","Authorities-Stakeholders","Management","Poland","Poland","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",37970874,312680,121.44,5.92e+11,7,2788,2.3,28,16.5,57.6,0.2,30.9,6.4
"Cameraria ohridella","Authorities-Stakeholders","Management","Germany","Germany","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",83132799,357580,232.49,3.85e+12,9,3621,0.8,27,19.4,62.3,0,32.7,11.7
"Cameraria ohridella","Authorities-Stakeholders","Management","Latvia","Latvia","Cameraria ohridella","Cameraria ohridella Deschka & Dimic, 1986","Cameraria",1912789,64490,29.66,34117202555,4,1150,4,18.9,10.6,64.2,1.1,54.7,6.6
"Cenchrus setaceus","Authorities-Stakeholders","Management","Malta","Malta","Cenchrus setaceus","Cenchrus setaceus (Forssk.) Morrone","Cenchrus",502653,320,1570.79,14786156563,0,0,0.5,12.5,7.1,76.4,0,1.4,8.2
"Cenchrus setaceus","Authorities-Stakeholders","Management","Portugal","Portugal","Cenchrus setaceus","Cenchrus setaceus (Forssk.) Morrone","Cenchrus",10269417,92225.5957,111.35,2.38e+11,1,1214,2.1,18.8,11.9,65.6,0.1,36.2,9.5
"Cenchrus setaceus","Authorities-Stakeholders","Management","Italy","Italy","Cenchrus setaceus","Cenchrus setaceus (Forssk.) Morrone","Cenchrus",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Cenchrus setaceus","Authorities-Stakeholders","Management","Spain","Spain","Cenchrus setaceus","Cenchrus setaceus (Forssk.) Morrone","Cenchrus",47076781,505935,93.05,1.39e+12,5,1918,2.6,20.1,11,67.9,0,37.2,9.1
"Cenchrus setaceus","Authorities-Stakeholders","Management","Italy","Italy","Cenchrus setaceus","Cenchrus setaceus (Forssk.) Morrone","Cenchrus",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Cenchrus setaceus","Authorities-Stakeholders","Management","Italy","Italy","Cenchrus setaceus","Cenchrus setaceus (Forssk.) Morrone","Cenchrus",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Corbicula fluminea","Public and social welfare","Damage","Ireland","Ireland","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",4941444,70280,70.31,3.89e+11,1,499,0.9,35.9,32,57.3,0,11.3,6.7
"Corbicula fluminea","Public and social welfare","Damage","Belgium","Belgium","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",11484055,30530,376.16,5.3e+11,4,1385,0.7,19.2,12.3,69.4,0,22.8,10.7
"Corbicula fluminea","Public and social welfare","Damage","Romania","Romania","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",19356544,238400,81.19,2.5e+11,5,2508,4.1,27,17,59.3,0.2,30.1,5.7
"Corbicula fluminea","Public and social welfare","Damage","Spain","Spain","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",47076781,505935,93.05,1.39e+12,5,1918,2.6,20.1,11,67.9,0,37.2,9.1
"Corbicula fluminea","Public and social welfare","Damage","Bulgaria","Bulgaria","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",6975761,111000,62.84,67927179737,5,1808,3.2,21.7,NA,61.4,0.2,35.7,7.1
"Corbicula fluminea","Public and social welfare","Damage","Italy","Italy","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Corbicula fluminea","Public and social welfare","Damage","Netherlands","Netherlands","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",17332850,41540,417.26,9.09e+11,2,1027,1.6,17.6,10.8,70,0,10.9,10.1
"Corbicula fluminea","Public and social welfare","Damage","Croatia","Croatia","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",4067500,56590,71.88,60415553039,5,1365,2.9,20,11.9,59.5,0.2,34.6,7
"Corbicula fluminea","Public and social welfare","Damage","Sweden","Sweden","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",10285453,447430,22.99,5.31e+11,2,2233,1.4,21.9,12.8,65.5,0.2,68.7,10.9
"Corbicula fluminea","Public and social welfare","Damage","Germany","Germany","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",83132799,357580,232.49,3.85e+12,9,3621,0.8,27,19.4,62.3,0,32.7,11.7
"Corbicula fluminea","Public and social welfare","Damage","Luxembourg","Luxembourg","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",619896,2590,239.34,71104919108,3,359,0.2,11.7,4.9,78.8,0,34.5,5.4
"Corbicula fluminea","Public and social welfare","Damage","France","France","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Corbicula fluminea","Public and social welfare","Damage","Czechia","Czech Republic","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",10669709,78870,135.28,2.46e+11,4,1881,1.9,31.5,22.6,57,0.3,34.7,7.8
"Corbicula fluminea","Public and social welfare","Damage","Austria","Austria","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",8877067,83879.00391,105.83,4.46e+11,8,2562,1.1,25.1,16.5,63.2,0.1,47.2,10.4
"Corbicula fluminea","Public and social welfare","Damage","Hungary","Hungary","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",9769949,93030,105.02,1.61e+11,7,2171,3.3,24.8,17.5,56.5,0.1,22.5,6.4
"Corbicula fluminea","Public and social welfare","Damage","Poland","Poland","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",37970874,312680,121.44,5.92e+11,7,2788,2.3,28,16.5,57.6,0.2,30.9,6.4
"Corbicula fluminea","Public and social welfare","Damage","Portugal","Portugal","Corbicula fluminea","Corbicula fluminea (O.F.Müller, 1774)","Corbicula",10269417,92225.5957,111.35,2.38e+11,1,1214,2.1,18.8,11.9,65.6,0.1,36.2,9.5
"Cortaderia selloana","Authorities-Stakeholders","Management","Italy","Italy","Cortaderia selloana","Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.","Cortaderia",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Cortaderia selloana","Authorities-Stakeholders","Management","Belgium","Belgium","Cortaderia selloana","Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.","Cortaderia",11484055,30530,376.16,5.3e+11,4,1385,0.7,19.2,12.3,69.4,0,22.8,10.7
"Cortaderia selloana","Authorities-Stakeholders","Management","Portugal","Portugal","Cortaderia selloana","Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.","Cortaderia",10269417,92225.5957,111.35,2.38e+11,1,1214,2.1,18.8,11.9,65.6,0.1,36.2,9.5
"Cortaderia selloana","Authorities-Stakeholders","Management","Greece","Greece","Cortaderia selloana","Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.","Cortaderia",10716322,131960,81.21,2.1e+11,4,1228,3.8,13.3,8,69.5,0,30.3,7.8
"Cortaderia selloana","Authorities-Stakeholders","Management","France","France","Cortaderia selloana","Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.","Cortaderia",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Cortaderia selloana","Authorities-Stakeholders","Management","France","France","Cortaderia selloana","Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.","Cortaderia",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Cortaderia selloana","Authorities-Stakeholders","Management","Spain","Spain","Cortaderia selloana","Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.","Cortaderia",47076781,505935,93.05,1.39e+12,5,1918,2.6,20.1,11,67.9,0,37.2,9.1
"Cortaderia selloana","Authorities-Stakeholders","Management","Ireland","Ireland","Cortaderia selloana","Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.","Cortaderia",4941444,70280,70.31,3.89e+11,1,499,0.9,35.9,32,57.3,0,11.3,6.7
"Cortaderia selloana","Authorities-Stakeholders","Management","Slovenia","Slovenia","Cortaderia selloana","Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.","Cortaderia",2087946,20675,100.99,53742159517,4,1334,2,29,20.7,56.6,0.2,61.6,8.5
"Cortaderia selloana","Authorities-Stakeholders","Management","Netherlands","Netherlands","Cortaderia selloana","Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.","Cortaderia",17332850,41540,417.26,9.09e+11,2,1027,1.6,17.6,10.8,70,0,10.9,10.1
"Cortaderia selloana","Authorities-Stakeholders","Management","Italy","Italy","Cortaderia selloana","Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.","Cortaderia",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Eichhornia crassipes","Authorities-Stakeholders","Management","France","France","Eichhornia crassipes","Eichhornia crassipes (Mart.) Solms","Eichhornia",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Eichhornia crassipes","Authorities-Stakeholders","Management","Italy","Italy","Eichhornia crassipes","Eichhornia crassipes (Mart.) Solms","Eichhornia",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Eichhornia crassipes","Authorities-Stakeholders","Management","France","France","Eichhornia crassipes","Eichhornia crassipes (Mart.) Solms","Eichhornia",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Eichhornia crassipes","Authorities-Stakeholders","Management","Romania","Romania","Eichhornia crassipes","Eichhornia crassipes (Mart.) Solms","Eichhornia",19356544,238400,81.19,2.5e+11,5,2508,4.1,27,17,59.3,0.2,30.1,5.7
"Eichhornia crassipes","Authorities-Stakeholders","Management","Portugal","Portugal","Eichhornia crassipes","Eichhornia crassipes (Mart.) Solms","Eichhornia",10269417,92225.5957,111.35,2.38e+11,1,1214,2.1,18.8,11.9,65.6,0.1,36.2,9.5
"Eichhornia crassipes","Authorities-Stakeholders","Management","Spain","Spain","Eichhornia crassipes","Eichhornia crassipes (Mart.) Solms","Eichhornia",47076781,505935,93.05,1.39e+12,5,1918,2.6,20.1,11,67.9,0,37.2,9.1
"Eichhornia crassipes","Authorities-Stakeholders","Management","Italy","Italy","Eichhornia crassipes","Eichhornia crassipes (Mart.) Solms","Eichhornia",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Eichhornia crassipes","Authorities-Stakeholders","Management","Hungary","Hungary","Eichhornia crassipes","Eichhornia crassipes (Mart.) Solms","Eichhornia",9769949,93030,105.02,1.61e+11,7,2171,3.3,24.8,17.5,56.5,0.1,22.5,6.4
"Eichhornia crassipes","Authorities-Stakeholders","Management","Belgium","Belgium","Eichhornia crassipes","Eichhornia crassipes (Mart.) Solms","Eichhornia",11484055,30530,376.16,5.3e+11,4,1385,0.7,19.2,12.3,69.4,0,22.8,10.7
"Eichhornia crassipes","Authorities-Stakeholders","Management","Malta","Malta","Eichhornia crassipes","Eichhornia crassipes (Mart.) Solms","Eichhornia",502653,320,1570.79,14786156563,0,0,0.5,12.5,7.1,76.4,0,1.4,8.2
"Eichhornia crassipes","Authorities-Stakeholders","Management","Poland","Poland","Eichhornia crassipes","Eichhornia crassipes (Mart.) Solms","Eichhornia",37970874,312680,121.44,5.92e+11,7,2788,2.3,28,16.5,57.6,0.2,30.9,6.4
