"Official_country","Cost_ID","InvaCost_ID","Repository","Reference_ID","Reference_title","Authors","Abstract","Publication_year","Language","Type_of_material","Previous_materials","Availability","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Common_name","Environment","Environment_IAS","HabitatVerbatim","Habitat","urbanArea","protectedArea","Island","Geographic_region","State.Province.Administrative_area","Location","Spatial_scale","Period_of_estimation","Time_range","Probable_starting_year","Probable_ending_year","Probable_starting_year_adjusted","Probable_ending_year_adjusted","Occurrence","Raw_cost_estimate_original_currency","Min_Raw_cost_estimate_original_currency","Max_Raw_cost_estimate_original_currency","Raw_cost_estimate_2017_USD_exchange_rate","Raw_cost_estimate_2017_USD_PPP","Cost_estimate_per_year_original_currency","Cost_estimate_per_year_2017_USD_exchange_rate","Cost_estimate_per_year_2017_USD_PPP","Currency","Applicable_year","Type_of_applicable_year","Implementation","Acquisition_method","Impacted_sector","Type_of_cost","Type_of_cost_merged","Management_type","Method_reliability","Method_reliability_refined","Method_reliability_Explanation","Method_reliability_Expert_Name","Overlap","Benefit_value.s.","Details","Initial.contributors_names","Double.checking","cost","cost_bil","cost_mil","Population_2019","Surface_area_km2","Density_2019","GDP_2019","Neighbouring_countries","Km_land_borders","log.cost","Agri_forest_fish_perc_gdp","Industry_perc_gdp","Manufacturing_perc_gdp","Services_perc_gdp","Forest_rents_perc_gdp","Forest_area_perc_landarea","Health_expend_perc_gdp"
"Spain","NE2239","IC_2.1_2231","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Basellaceae","Anredera","Anredera cordifolia",NA,NA,"Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Cabanes","Site","2015","Year",2015,2015,2015,2015,"One-time",19.2,NA,NA,22.030892632583,29.8788747074487,19.2,22.030892632583,29.8788747074487,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas. Original name of the species in the document = Boussingaultia cordifolia.","Liliana Ballesteros-Mejia/Elena Angulo","Yes",22.030892632583,2.2030892632583e-08,2.2030892632583e-05,47076781,505935,93.05,1.39e+12,5,1918,3.09244567894858,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE224","IC_2.1_223","TC","SP_38","Estimación de los costes económicos de la invasión del mejillón cebra (Dreissena polymorpha) en la Cuenca del Ebro","Luis Pérez y Pérez- CITA Gobierno de Aragón y Universidad de Zaragoza; Carlos Chica Moreu- Consultor",NA,2006,"Spanish","Journal article",NA,"Yes","Animalia","Mollusca","Bivalvia","Myida","Dreissenidae","Dreissena","Dreissena polymorpha",NA,"Zebra mussel","Aquatic","Aquatic","Water supply center","12","other",NA,"N","Europe","Aragon","Fayon/ Ebro Bassin","other","2004","Year",2004,2004,2004,2004,"One-time",3150,NA,NA,5084.88577759673,5332.48336529365,3150,5084.88577759673,5332.48336529365,"EUR",2004,"Effective","Observed","Report/Estimation","Public and social welfare","Damage repair","Damage",NA,"High",NA,NA,NA,NA,"no","Pg 29. Los incrementos de gastos de limpieza de las infraestructuras de abastecimiento motivados por el mejillón cebra ascendieron en el periodo 2002-2004 a 2.998, 3.058 y 3.150 €, respectivamente.","Elena Angulo/Virginia G. Duboscq-Carra","Yes",5084.88577759673,5.08488577759673e-06,0.00508488577759673,47076781,505935,93.05,1.39e+12,5,1918,8.53402784561419,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1861","IC_2.1_1853","TC","SP_55","Actuaciones de control de especies invasoras. Memoria Anual 2009","Generalitat Valenciana- Consellería de Medi Ambient Aigua- Urbanisme i habitatge- Dirección General de Gestión del Medio Natural- Servicio de Biodiversidad",NA,2010,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","Azolla","Azolla filiculoides",NA,"Azolla","Aquatic","Aquatic",NA,NA,"other",NA,"N","Europe","Valencia","Valencia Autonomous Region","Site","2008","Year",2008,2008,2008,2008,"One-time",1280,NA,NA,2143.28230576554,2007.63540373275,1280,2143.28230576554,2007.63540373275,"EUR",2008,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Pg 3","Elena Angulo/Liliana Ballesteros-Mejia","Yes",2143.28230576554,2.14328230576554e-06,0.00214328230576554,47076781,505935,93.05,1.39e+12,5,1918,7.67009372070575,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2241","IC_2.1_2233","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","Carpobrotus","Carpobrotus edulis",NA,"Highway ice plant","Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Sagunto","Site","2015","Year",2015,2015,2015,2015,"One-time",253.44,NA,NA,290.807782750095,394.401146138323,253.44,290.807782750095,394.401146138323,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",290.807782750095,2.90807782750095e-07,0.000290807782750095,47076781,505935,93.05,1.39e+12,5,1918,5.6726625085409,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2242","IC_2.1_2234","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Colocasia","Colocasia esculenta",NA,"Cocoyam","Aquatic","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Almazora","Site","2015","Year",2015,2015,2015,2015,"One-time",256,NA,NA,293.745235101106,398.384996099316,256,293.745235101106,398.384996099316,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",293.745235101106,2.93745235101106e-07,0.000293745235101106,47076781,505935,93.05,1.39e+12,5,1918,5.6827128443944,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2243","IC_2.1_2235","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Colocasia","Colocasia esculenta",NA,"Cocoyam","Aquatic","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Castellon de la Plana","Site","2015","Year",2015,2015,2015,2015,"One-time",838.4,NA,NA,962.015644956122,1304.71086222526,838.4,962.015644956122,1304.71086222526,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",962.015644956122,9.62015644956122e-07,0.000962015644956122,47076781,505935,93.05,1.39e+12,5,1918,6.86903071348162,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2244","IC_2.1_2236","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Colocasia","Colocasia esculenta",NA,"Cocoyam","Aquatic","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Gandia","Site","2015","Year",2015,2015,2015,2015,"One-time",896,NA,NA,1028.10832285387,1394.34748634761,896,1028.10832285387,1394.34748634761,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",1028.10832285387,1.02810832285387e-06,0.00102810832285387,47076781,505935,93.05,1.39e+12,5,1918,6.93547581288977,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2245","IC_2.1_2237","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana",NA,"Pampa grass","Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Almenara","Site","2015","Year",2015,2015,2015,2015,"One-time",1107.2,NA,NA,1270.44814181228,1723.01510812954,1107.2,1270.44814181228,1723.01510812954,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",1270.44814181228,1.27044814181228e-06,0.00127044814181228,47076781,505935,93.05,1.39e+12,5,1918,7.14712498477824,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2246","IC_2.1_2238","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana",NA,"Pampa grass","Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Cabanes","Site","2015","Year",2015,2015,2015,2015,"One-time",51.2,NA,NA,58.7490470202212,79.6769992198632,51.2,58.7490470202212,79.6769992198632,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",58.7490470202212,5.87490470202212e-08,5.87490470202212e-05,47076781,505935,93.05,1.39e+12,5,1918,4.0732749319603,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2247","IC_2.1_2239","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana",NA,"Pampa grass","Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Castell de Castells","Site","2015","Year",2015,2015,2015,2015,"One-time",204.8,NA,NA,234.996188080885,318.707996879453,204.8,234.996188080885,318.707996879453,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",234.996188080885,2.34996188080885e-07,0.000234996188080885,47076781,505935,93.05,1.39e+12,5,1918,5.45956929308019,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2248","IC_2.1_2240","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana",NA,"Pampa grass","Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Chilches","Site","2015","Year",2015,2015,2015,2015,"One-time",1536,NA,NA,1762.47141060664,2390.3099765959,1536,1762.47141060664,2390.3099765959,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",1762.47141060664,1.76247141060664e-06,0.00176247141060664,47076781,505935,93.05,1.39e+12,5,1918,7.47447231362246,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2249","IC_2.1_2241","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana",NA,"Pampa grass","Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Pego","Site","2015","Year",2015,2015,2015,2015,"One-time",76.8,NA,NA,88.1235705303318,119.515498829795,76.8,88.1235705303318,119.515498829795,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",88.1235705303318,8.81235705303318e-08,8.81235705303318e-05,47076781,505935,93.05,1.39e+12,5,1918,4.47874004006847,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE225","IC_2.1_224","TC","SP_38","Estimación de los costes económicos de la invasión del mejillón cebra (Dreissena polymorpha) en la Cuenca del Ebro","Luis Pérez y Pérez- CITA Gobierno de Aragón y Universidad de Zaragoza; Carlos Chica Moreu- Consultor",NA,2006,"Spanish","Journal article",NA,"Yes","Animalia","Mollusca","Bivalvia","Myida","Dreissenidae","Dreissena","Dreissena polymorpha",NA,"Zebra mussel","Aquatic","Aquatic","Fayon town.","12","other",NA,"N","Europe","Aragon","Fayon/ Ebro Bassin","other","2005","Year",2005,2005,2005,2005,"One-time",24290,NA,NA,37929.2021259016,39619.4710871477,24290,37929.2021259016,39619.4710871477,"EUR",2005,"Effective","Observed","Report/Estimation","Public and social welfare","Damage repair","Damage",NA,"High",NA,NA,NA,NA,"no","Pg 29. En 2005, las obras necesarias para la lucha contra el mejillón cebra supusieron (...)  y por el Ayuntamiento de Fayón (15.379,8 €).A partir de la ejecución de las obras de mejora en 2005, los costes de explotación y mantenimiento ascienden a 8.900 €, con previsión para el año 2006 de 9.400 €.","Elena Angulo/Virginia G. Duboscq-Carra","Yes",37929.2021259016,3.79292021259016e-05,0.0379292021259016,47076781,505935,93.05,1.39e+12,5,1918,10.5434765990254,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2250","IC_2.1_2242","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana",NA,"Pampa grass","Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Jeresa","Site","2015","Year",2015,2015,2015,2015,"One-time",460.8,NA,NA,528.741423181991,717.092992978769,460.8,528.741423181991,717.092992978769,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",528.741423181991,5.28741423181991e-07,0.000528741423181991,47076781,505935,93.05,1.39e+12,5,1918,6.27049950929652,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2251","IC_2.1_2243","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,NA,"Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Betera","Site","2015","Year",2015,2015,2015,2015,"One-time",3712,NA,NA,4259.30590896604,5776.58244344008,3712,4259.30590896604,5776.58244344008,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",4259.30590896604,4.25930590896604e-06,0.00425930590896604,47076781,505935,93.05,1.39e+12,5,1918,8.35686149382093,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2252","IC_2.1_2244","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,NA,"Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Estivella","Site","2015","Year",2015,2015,2015,2015,"One-time",640,NA,NA,734.363087752765,995.96249024829,640,734.363087752765,995.96249024829,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",734.363087752765,7.34363087752765e-07,0.000734363087752765,47076781,505935,93.05,1.39e+12,5,1918,6.59900357626856,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2253","IC_2.1_2245","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,NA,"Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Ibi","Site","2015","Year",2015,2015,2015,2015,"One-time",192,NA,NA,220.30892632583,298.788747074487,192,220.30892632583,298.788747074487,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",220.30892632583,2.2030892632583e-07,0.00022030892632583,47076781,505935,93.05,1.39e+12,5,1918,5.39503077194262,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2254","IC_2.1_2246","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,NA,"Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Ludiente","Site","2015","Year",2015,2015,2015,2015,"One-time",512,NA,NA,587.490470202212,796.769992198632,512,587.490470202212,796.769992198632,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",587.490470202212,5.87490470202212e-07,0.000587490470202212,47076781,505935,93.05,1.39e+12,5,1918,6.37586002495435,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2255","IC_2.1_2247","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,NA,"Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Mogente","Site","2015","Year",2015,2015,2015,2015,"One-time",384,NA,NA,440.617852651659,597.577494148974,384,440.617852651659,597.577494148974,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",440.617852651659,4.40617852651659e-07,0.000440617852651659,47076781,505935,93.05,1.39e+12,5,1918,6.08817795250257,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2256","IC_2.1_2248","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,NA,"Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Moncada","Site","2015","Year",2015,2015,2015,2015,"One-time",640,NA,NA,734.363087752765,995.96249024829,640,734.363087752765,995.96249024829,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",734.363087752765,7.34363087752765e-07,0.000734363087752765,47076781,505935,93.05,1.39e+12,5,1918,6.59900357626856,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2257","IC_2.1_2249","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,NA,"Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Naquera","Site","2015","Year",2015,2015,2015,2015,"One-time",256,NA,NA,293.745235101106,398.384996099316,256,293.745235101106,398.384996099316,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",293.745235101106,2.93745235101106e-07,0.000293745235101106,47076781,505935,93.05,1.39e+12,5,1918,5.6827128443944,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2258","IC_2.1_2250","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,NA,"Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Sagunto","Site","2015","Year",2015,2015,2015,2015,"One-time",256,NA,NA,293.745235101106,398.384996099316,256,293.745235101106,398.384996099316,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",293.745235101106,2.93745235101106e-07,0.000293745235101106,47076781,505935,93.05,1.39e+12,5,1918,5.6827128443944,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2259","IC_2.1_2251","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,NA,"Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Villajoyosa","Site","2015","Year",2015,2015,2015,2015,"One-time",512,NA,NA,587.490470202212,796.769992198632,512,587.490470202212,796.769992198632,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",587.490470202212,5.87490470202212e-07,0.000587490470202212,47076781,505935,93.05,1.39e+12,5,1918,6.37586002495435,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2260","IC_2.1_2252","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Hydrocotyle","Hydrocotyle ranunculoides",NA,"floating pennywort","Aquatic","Semi-aquatic","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Altea","Site","2015","Year",2015,2015,2015,2015,"One-time",512,NA,NA,587.490470202212,796.769992198632,512,587.490470202212,796.769992198632,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",587.490470202212,5.87490470202212e-07,0.000587490470202212,47076781,505935,93.05,1.39e+12,5,1918,6.37586002495435,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE2261","IC_2.1_2253","TC","SP_30","Actuaciones de control de especies invasoras. Memoria Anual 2015","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2016,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","Impatiens","Impatiens balfourii",NA,"Balfour's touch-me-not","Terrestrial","Terrestrial","Marhslands -  river -  dry riverbed",NA,"other",NA,"N","Europe","Valencia","Agres","Site","2015","Year",2015,2015,2015,2015,"One-time",25.6,NA,NA,29.3745235101106,39.8384996099316,25.6,29.3745235101106,39.8384996099316,"EUR",2015,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Eradication","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Marjales, rios, ramblas","Liliana Ballesteros-Mejia/Elena Angulo","Yes",29.3745235101106,2.93745235101106e-08,2.93745235101106e-05,47076781,505935,93.05,1.39e+12,5,1918,3.38012775140036,2.6,20.1,11,67.9,0,37.2,9.1
