Location,Taxon,ScientificName
Belgium,Adonis flammea,Adonis flammea Jacq.
Belgium,Aedes albopictus,"Aedes albopictus (Skuse, 1894)"
Belgium,Aedes japonicus,"Aedes japonicus Suzuki, Tanimura, Miyagawa & Murata, 1953"
Belgium,Aedes koreicus,"Aedes koreicus (Edwards, 1917)"
Belgium,Aegilops cylindrica,Aegilops cylindrica Host
Belgium,Aegilops geniculata,Aegilops geniculata Roth
Belgium,Aegilops triuncialis,Aegilops triuncialis L.
Belgium,Aegopinella nitens,"Aegopinella nitens (Michaud, 1831)"
Belgium,Aeschynomene americana,Aeschynomene americana L.
Belgium,Aeschynomene indica,Aeschynomene indica L.
Belgium,Aesculus hippocastanum,Aesculus hippocastanum L.
Belgium,Aesculus parviflora,Aesculus parviflora Walter
Belgium,Aesculus pavia,Aesculus pavia L.
Belgium,Agapornis canus,"Agapornis canus (Gmelin, 1788)"
Belgium,Agapornis fischeri,"Agapornis fischeri Reichenow, 1887"
Belgium,Agapornis personatus,"Agapornis personatus Reichenow, 1887"
Belgium,"Agapornis roseicollis (Stanley, 1814)",
Belgium,Agaricus bernardii,Agaricus bernardii Quél.
Belgium,Agastache rugosa,Agastache rugosa (Fisch. & C.A.Mey.) Kuntze
Belgium,Agave americana,Agave americana L.
Belgium,Ageratina altissima,Ageratina altissima (L.) R.King & H.Rob.
Belgium,Agrocybe putaminum,Agrocybe putaminum (Maire) Singer
Belgium,Agropogon,Agropogon P.Fourn.
Belgium,Agropogon lutosus,Agropogon lutosus (Poir.) P.Fourn.
Belgium,Agrostis exarata,Agrostis exarata Trin.
Belgium,Agrostis fouilladeana,Agrostis fouilladeana Lambinon & Verloove
Belgium,Agrostis sanionis,Agrostis sanionis Asch. & Graebn.
Belgium,Agrostis scabra,Agrostis scabra Willd.
Belgium,Ailanthus altissima,Ailanthus altissima (Mill.) Swingle
Belgium,Aira caryophyllea,Aira caryophyllea L.
Belgium,Aix galericulata,"Aix galericulata (Linnaeus, 1758)"
Belgium,Aix sponsa,"Aix sponsa (Linnaeus, 1758)"
Belgium,Akebia quinata,Akebia quinata (Houtt.) Decne.
Belgium,Alcea ficifolia,
Belgium,Alcea rosea,Alcea rosea L.
Belgium,Alcea rugosa,Alcea rugosa Alef.
Belgium,Alchemilla conjuncta,Alchemilla conjuncta Bab.
Belgium,Alchemilla mollis,Alchemilla mollis (Buser) Rothm.
Belgium,Alchemilla tytthantha,Alchemilla tytthantha Juz.
Belgium,Alectoris chukar,"Alectoris chukar (J.E.Gray, 1830)"
Belgium,Alectoris graeca,"Alectoris graeca (Meisner, 1804)"
Belgium,Alectoris rufa,"Alectoris rufa (Linnaeus, 1758)"
Belgium,Aleurodothrips fasciapennis,"Aleurodothrips fasciapennis (Franklin, 1908)"
Belgium,Allium ampeloprasum,Allium ampeloprasum L.
Belgium,Allium carinatum,Allium carinatum L.
Belgium,Allium cepa,Allium cepa L.
Belgium,Allium christophii,Allium christophii Trautv.
Belgium,Allium cristophii,Allium cristophii Trautv.
Belgium,Allium hollandicum,Allium hollandicum R.M.Fritsch
Belgium,Allium karataviense,Allium karataviense Regel
Belgium,Allium lusitanicum,Allium lusitanicum Lam.
Belgium,Allium macleanii,Allium macleanii Baker
Belgium,Allium nigrum,Allium nigrum L.
Belgium,Allium paradoxum,Allium paradoxum (M.Bieb.) G.Don
Belgium,Allium pendulinum,Allium pendulinum Ten.
Belgium,Allium porrum,
Belgium,Allium ramosum,Allium ramosum L.
Belgium,Allium roseum,Allium roseum L.
Belgium,Allium scorodoprasum,Allium scorodoprasum L.
Belgium,Allium triquetrum,Allium triquetrum L.
Belgium,Allium zebdanense,Allium zebdanense Boiss. & Noë
Belgium,Allopeas clavulinum,"Allopeas clavulinum (Potiez & Michaud, 1838)"
Belgium,Alnus cordata,Alnus cordata (Loisel.) Duby
Belgium,Alnus incana,Alnus incana (L.) Moench
Belgium,Alnus pubescens,Alnus pubescens Tausch
Belgium,Alnus spaethii,Alnus spaethii Callier
Belgium,Alonsoa linearis,Alonsoa linearis (Jacq.) Ruiz & Pav.
Belgium,Alopochen aegyptiaca,"Alopochen aegyptiaca (Linnaeus, 1766)"
Belgium,Alternanthera caracasana,Alternanthera caracasana Kunth
Belgium,Alternanthera pungens,Alternanthera pungens Kunth
Belgium,Alternanthera tenella,
Belgium,Alyssum montanum,Alyssum montanum L.
Belgium,Alyssum murale,
Belgium,Amandava amandava,"Amandava amandava (Linnaeus, 1758)"
Belgium,Amandava subflava,"Amandava subflava (Vieillot, 1819)"
Belgium,Amaranthus albus,Amaranthus albus L.
Belgium,Amaranthus blitoides,Amaranthus blitoides S.Watson
Belgium,Amaranthus blitum,Amaranthus blitum L.
Belgium,Amaranthus bouchonii,Amaranthus bouchonii Thell.
Belgium,Amaranthus capensis,Amaranthus capensis Thell.
Belgium,Amaranthus capensis capensis,Amaranthus capensis subsp. capensis
Belgium,Amaranthus capensis uncinatus,Amaranthus capensis subsp. uncinatus (Thell.) Brenan
Belgium,Amaranthus clementii,Amaranthus clementii Domin
Belgium,Amaranthus cruentus,Amaranthus cruentus L.
Belgium,Amaranthus deflexus,Amaranthus deflexus L.
Belgium,Amaranthus graecizans,Amaranthus graecizans L.
Belgium,Amaranthus hybridus,Amaranthus hybridus L.
Belgium,Amaranthus macrocarpus,Amaranthus macrocarpus Benth.
Belgium,Amaranthus macrocarpus macrocarpus,Amaranthus macrocarpus var. macrocarpus
Belgium,Amaranthus ozanonii Piszter,
Belgium,Amaranthus ozanonii Piszter,
Belgium,Amaranthus polygonoides,Amaranthus polygonoides L.
Belgium,Amaranthus powellii,Amaranthus powellii S.Watson
Belgium,Amaranthus powellii subsp. bouchonii (Thell.) Costea & Carretero,
Belgium,Amaranthus retroflexus,Amaranthus retroflexus L.
Belgium,Amaranthus scleropoides,Amaranthus scleropoides Uline & Bray
Belgium,Amaranthus standleyanus,Amaranthus standleyanus Parodi ex Covas
Belgium,Amazona amazonica,"Amazona amazonica (Linnaeus, 1766)"
Belgium,Amazona ochrocephala,"Amazona ochrocephala (Gmelin, 1788)"
Belgium,Amazonetta brasiliensis,"Amazonetta brasiliensis (Gmelin, 1789)"
Belgium,Amberboa moschata,Amberboa moschata (L.) DC.
Belgium,Ambigolimax valentianus,"Ambigolimax valentianus (A.Férussac, 1821)"
Belgium,Ambrosia psilostachya,Ambrosia psilostachya DC.
Belgium,Ameiurus melas,"Ameiurus melas (Rafinesque, 1820)"
Belgium,Ameiurus nebulosus,"Ameiurus nebulosus (Lesueur, 1819)"
Belgium,Amelanchier lamarckii,Amelanchier ×lamarckii F.G.Schroed.
Belgium,Amethystea caerulea,Amethystea caerulea L.
Belgium,Ammannia coccinea,Ammannia coccinea Rottb.
Belgium,Ammi visnaga,"Ammi visnaga Linnaeus, 1753"
Belgium,Ammothea hilgendorfi,"Ammothea hilgendorfi (Böhm, 1879)"
Belgium,Amorpha fruticosa,Amorpha fruticosa L.
Belgium,Ampelopsis heterophylla,Ampelopsis heterophylla (Thunb.) Siebold & Zucc.
Belgium,Amphiachyris dracunculoides,Amphiachyris dracunculoides (DC.) Nutt.
Belgium,Amphiareus obscuriceps,"Amphiareus obscuriceps (Poppius, 1909)"
Belgium,Amphibalanus amphitrite,"Amphibalanus amphitrite (Darwin, 1854)"
Belgium,Amphibalanus improvisus,"Amphibalanus improvisus (Darwin, 1854)"
Belgium,Amphibalanus reticulatus,"Amphibalanus reticulatus (Utinomi, 1967)"
Belgium,Amphibalanus variegatus,"Amphibalanus variegatus (Darwin, 1854)"
Belgium,Amsinckia intermedia,Amsinckia intermedia Fisch. & C.A.Mey.
Belgium,Amsinckia lycopsoides Lehm. ex Fisch. & C.A.Mey.,
Belgium,Amsinckia menziesii,Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.
Belgium,Amsinckia tessellata,Amsinckia tessellata A.Gray
Belgium,Anacridium aegyptium,"Anacridium aegyptium (Linnaeus, 1764)"
Belgium,Anacyclus radiatus,Anacyclus radiatus Loisel.
Belgium,Anacyclus valentinus,Anacyclus valentinus L.
Belgium,Anaphalis triplinervis,Anaphalis triplinervis (Sims) C.B.Clarke
Belgium,Anas americana,"Anas americana Gmelin, 1789"
Belgium,Anas bahamensis,"Anas bahamensis Linnaeus, 1758"
Belgium,Anas capensis,"Anas capensis Gmelin, 1789"
Belgium,Anas castanea,"Anas castanea (Eyton, 1838)"
Belgium,Anas cyanoptera,"Anas cyanoptera Vieillot, 1816"
Belgium,Anas erythrorhyncha,"Anas erythrorhyncha Gmelin, 1789"
Belgium,Anas flavirostris,"Anas flavirostris Vieillot, 1816"
Belgium,Anas formosa,"Anas formosa Georgi, 1775"
Belgium,Anas gibberifrons,"Anas gibberifrons S.Muller, 1842"
Belgium,Anas hottentota,"Anas hottentota (Eyton, 1838)"
Belgium,Anas laysanensis,"Anas laysanensis Rothschild, 1892"
Belgium,Anas luzonica,"Anas luzonica Fraser, 1839"
Belgium,Anas poecilorhyncha,"Anas poecilorhyncha J.R.Forster, 1781"
Belgium,Anas puna,"Anas puna Tschudi, 1844"
Belgium,Anas rhynchotis,"Anas rhynchotis Latham, 1802"
Belgium,Anas sibilatrix,"Anas sibilatrix Poeppig, 1829"
Belgium,Anas superciliosa,"Anas superciliosa Gmelin, 1789"
Belgium,Anas undulata,"Anas undulata C.F.Dubois, 1839"
Belgium,Anas versicolor,"Anas versicolor Vieillot, 1816"
Belgium,Anastomus lamelligerus,"Anastomus lamelligerus Temminck, 1823"
Belgium,Anchusa ochroleuca,Anchusa ochroleuca M.Bieb.
Belgium,Anchusa officinalis,Anchusa officinalis L.
Belgium,Anchusa officinalis officinalis,Anchusa officinalis subsp. officinalis
Belgium,Anchusa procera,Anchusa procera Besser ex Link
Belgium,Anchusa procera Besser,
Belgium,Andryala integrifolia,Andryala integrifolia L.
Belgium,Anemone apennina,Anemone apennina L.
Belgium,Anemone coronaria,Anemone coronaria L.
Belgium,Anemone sylvestris,Anemone sylvestris L.
Belgium,Anethum graveolens,Anethum graveolens L.
Belgium,Angelica archangelica,Angelica archangelica L.
Belgium,Anguillicola crassus,"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974"
Belgium,Anisocampium niponicum,"Anisocampium niponicum (Mett.) Yea C.Liu, W.L.Chiou & M.Kato"
Belgium,Anopheles pharoensis,"Anopheles pharoensis Theobald, 1901"
Belgium,Anoplophora chinensis,"Anoplophora chinensis (Forster, 1771)"
Belgium,Anoplophora glabripennis,"Anoplophora glabripennis (Motschulsky, 1854)"
Belgium,Anser anser,"Anser anser (Linnaeus, 1758)"
Belgium,Anser cygnoides,"Anser cygnoides (Linnaeus, 1758)"
Belgium,Anser indicus,"Anser indicus (Latham, 1790)"
Belgium,Anthoxanthum aristatum,Anthoxanthum aristatum Boiss.
Belgium,Anthoxanthum nitens,Anthoxanthum nitens (Weber) Y.Schouten & Veldkamp
Belgium,Anthriscus cerefolium,Anthriscus cerefolium (L.) Hoffm.
Belgium,Anthropoides paradiseus,"Anthropoides paradiseus (A.A.H.Lichtenstein, 1793)"
Belgium,Anthropoides virgo,"Anthropoides virgo (Linnaeus, 1758)"
Belgium,Anthyllis vulneraria,Anthyllis vulneraria L.
Belgium,Anthyllis vulneraria carpatica,Anthyllis vulneraria subsp. carpatica (Pant.) Nyman
Belgium,Anthyllis vulneraria polyphylla,Anthyllis vulneraria subsp. polyphylla (DC.) Nyman
Belgium,Antirrhinum graniticum,Antirrhinum graniticum Rothm.
Belgium,Antirrhinum majus,Antirrhinum majus L.
Belgium,Antithamnionella spirographidis,Antithamnionella spirographidis (Schiffner) E.M.Wollaston
Belgium,Antithamnionella ternifolia,Antithamnionella ternifolia (J.D.Hooker & Harvey) Lyle
Belgium,Apera intermedia,Apera intermedia Hack.
Belgium,Apera interrupta,Apera interrupta (L.) P.Beauv.
Belgium,Aphanomyces astaci,Aphanomyces astaci Schikora
Belgium,Aphelinus mali,"Aphelinus mali (Haldeman, 1851)"
Belgium,Aplidium glabrum,"Aplidium glabrum (Verrill, 1871)"
Belgium,Aproceros leucopoda,"Aproceros leucopoda Takeuchi, 1939"
Belgium,Aquila rapax,"Aquila rapax (Temminck, 1828)"
Belgium,Ara ararauna,"Ara ararauna (Linnaeus, 1758)"
Belgium,Ara macao,"Ara macao (Linnaeus, 1758)"
Belgium,Arabidopsis arenosa,Arabidopsis arenosa (L.) Lawalrée
Belgium,Arabidopsis arenosa arenosa,Arabidopsis arenosa subsp. arenosa
Belgium,Arabidopsis halleri,Arabidopsis halleri (L.) O'Kane & Al-Shehbaz
Belgium,Arabis alpina,Arabis alpina L.
Belgium,Arabis caucasica,Arabis caucasica Willd.
Belgium,Arabis collina,Arabis collina Ten.
Belgium,Arabis planisiliqua,Arabis planisiliqua (Pers.) Rchb.
Belgium,Arabis procurrens,Arabis procurrens Waldst. & Kit.
Belgium,Arachis hypogaea,Arachis hypogaea L.
Belgium,Aralia cordata,Aralia cordata Thunb.
Belgium,Aralia elata,Aralia elata (Miq.) Seem.
Belgium,Araucaria araucana,Araucaria araucana (Molina) K.Koch
Belgium,Arbutus unedo,Arbutus unedo L.
Belgium,Argemone mexicana,Argemone mexicana L.
Belgium,Argyranthemum frutescens,Argyranthemum frutescens (L.) Sch.Bip.
Belgium,Argyresthia thuiella,"Argyresthia thuiella (Packard, 1871)"
Belgium,Arion lusitanicus,"Arion lusitanicus J.Mabille, 1868"
Belgium,Arion vulgaris,"Arion vulgaris Moquin-Tandon, 1855"
Belgium,Aristida congesta,Aristida congesta Roem. & Schult.
Belgium,Aristida longespica,Aristida longespica Poir.
Belgium,Aristolochia clematitis,Aristolochia clematitis L.
Belgium,Aristolochia macrophylla,
Belgium,Aristolochia rotunda,Aristolochia rotunda L.
Belgium,Armeria arenaria,Armeria arenaria (Pers.) Schult.
Belgium,Armeria maritima,Armeria maritima (Mill.) Willd.
Belgium,Armeria maritima elongata,Armeria maritima subsp. elongata (Hoffm.) Bonnier
Belgium,Armoracia rusticana,"Armoracia rusticana P.Gaertn., B.Mey. & Scherb."
Belgium,Arnebia decumbens,Arnebia decumbens (Vent.) Coss. & Kralik
Belgium,Aronia melanocarpa,Aronia melanocarpa (Michx.) Elliott
Belgium,Artema atlanta,"Artema atlanta Walckenaer, 1837"
Belgium,Artemisia afra,Artemisia afra Jacq.
Belgium,Artemisia annua,Artemisia annua L.
Belgium,Artemisia austriaca,Artemisia austriaca Jacq.
Belgium,Artemisia campestris,Artemisia campestris L.
Belgium,Artemisia campestris maritima,"Artemisia campestris subsp. maritima Linnaeus, 1753"
Belgium,Artemisia dracunculus,Artemisia dracunculus L.
Belgium,Artemisia ludoviciana,Artemisia ludoviciana Nutt.
Belgium,Artemisia princeps,Artemisia princeps Pamp.
Belgium,Artemisia sieversiana,Artemisia sieversiana Ehrh. ex Willd.
Belgium,Artemisia verlotiorum,Artemisia verlotiorum Lamotte
Belgium,Arum italicum,Arum italicum Mill.
Belgium,Asarina procumbens,Asarina procumbens Mill.
Belgium,Asarum europaeum,Asarum europaeum L.
Belgium,Asclepias incarnata,Asclepias incarnata L.
Belgium,Asperugo procumbens,Asperugo procumbens L.
Belgium,Asperula arvensis,Asperula arvensis L.
Belgium,Asperula taurina,Asperula taurina L.
Belgium,Aster ageratoides,Aster ageratoides Turcz.
Belgium,Aster amellus,Aster amellus L.
Belgium,Aster divaricatus,"Aster divaricatus Nutt., 1842"
Belgium,Aster laevis,
Belgium,Aster lanceolatus,
Belgium,Aster lanceolatus Willd. (incl. A. tradescantii,
Belgium,Aster pilosus,
Belgium,Aster salignus,Aster salignus L.
Belgium,Aster x salignus Willd. (A. lanceolatus x novi- D,
Belgium,Asteriscus aquaticus,Asteriscus aquaticus (L.) Less.
Belgium,Astragalus cicer,Astragalus cicer L.
Belgium,Astragalus hamosus,Astragalus hamosus L.
Belgium,Astragalus oxyglottis,Astragalus oxyglottis Steven ex M.Bieb.
Belgium,Astragalus pelecinus subsp. pelecinus,
Belgium,Atriplex halimus,Atriplex halimus L.
Belgium,Atriplex holocarpa,Atriplex holocarpa F.Muell.
Belgium,Atriplex micrantha,Atriplex micrantha Ledeb.
Belgium,Atriplex muelleri,Atriplex muelleri Benth.
Belgium,Atriplex pseudocampanulata,Atriplex pseudocampanulata Aellen ex Blom
Belgium,Atriplex sibirica,Atriplex sibirica L.
Belgium,Atriplex suberecta,Atriplex suberecta Verdoorn
Belgium,Atyaephyra desmarestii,"Atyaephyra desmarestii (Millet, 1831)"
Belgium,Aubrieta columnae,Aubrieta columnae Guss.
Belgium,Aubrieta deltoidea,Aubrieta deltoidea (L.) DC.
Belgium,Aucuba japonica,Aucuba japonica Thunb.
Belgium,Aurantothrips orchidaceus,"Aurantothrips orchidaceus (Bagnall, 1909)"
Belgium,Aurinia saxatilis,Aurinia saxatilis (L.) Desv.
Belgium,Austrominius modestus,"Austrominius modestus (Darwin, 1854)"
Belgium,Austrostipa scabra falcata,Austrostipa scabra subsp. falcata (Hughes) S.W.L.Jacobs & J.Everett
Belgium,Austrostipa scabra scabra,Austrostipa scabra subsp. scabra
Belgium,Austrostipa verticillata,Austrostipa verticillata (Nees ex Spreng.) S.W.L.Jacobs & J.Everett
Belgium,Avellinia festucoides,Avellinia festucoides (Link) Valdés & H.Scholz
Belgium,Avena brevis,Avena brevis Roth
Belgium,Avena hispanica,
Belgium,Avena nuda,Avena nuda L.
Belgium,Avena sterilis,Avena sterilis L.
Belgium,Avena sterilis sterilis,Avena sterilis subsp. sterilis
Belgium,Axonopus fissifolius,Axonopus fissifolius (Raddi) Kuhlm.
Belgium,Axyris amaranthoides,Axyris amaranthoides L.
Belgium,Azolla filiculoides,Azolla filiculoides Lam.
Belgium,Baccharis halimifolia,Baccharis halimifolia L.
Belgium,Badonnelia titei,"Badonnelia titei J.V.Pearman, 1953"
Belgium,Balanus glandula,"Balanus glandula Darwin, 1854"
Belgium,Balanus trigonus,"Balanus trigonus Darwin, 1854"
Belgium,Balearica regulorum,"Balearica regulorum (E.T.Bennett, 1834)"
Belgium,Ballerus ballerus,"Ballerus ballerus (Linnaeus, 1758)"
Belgium,Ballota nigra,Ballota nigra L.
Belgium,Ballota nigra nigra,Ballota nigra subsp. nigra
Belgium,Barbarea stricta,Barbarea stricta Andrz. ex Besser
Belgium,Barbarea verna,Barbarea verna (Mill.) Asch.
Belgium,Barentsia benedeni,"Barentsia benedeni (Foettinger, 1887)"
Belgium,Barentsia ramosa,"Barentsia ramosa (Robertson, 1900)"
Belgium,Bassia hyssopifolia,Bassia hyssopifolia (Pall.) Kuntze
Belgium,Bassia laniflora,Bassia laniflora (S.G.Gmel.) A.J.Scott
Belgium,Bassia scoparia,Bassia scoparia (L.) A.J.Scott
Belgium,Batrachochytrium dendrobatidis,"Batrachochytrium dendrobatidis Longcore, Pessier & D.K.Nichols"
Belgium,Batrachochytrium salamandrivorans,"Batrachochytrium salamandrivorans A.Martel, Blooi, Bossuyt & Pasmans"
Belgium,Begonia semperflorens,Begonia semperflorens Link & Otto
Belgium,Berberis darwinii,Berberis darwinii Hook.
Belgium,Berberis gagnepainii,Berberis gagnepainii C.K.Schneid.
Belgium,Berberis hybridogagnepainii,Berberis ×hybridogagnepainii J.V.Suringar
Belgium,Berberis interposita,Berberis ×interposita Ahrendt
Belgium,Berberis julianae,Berberis julianae C.K.Schneid.
Belgium,Berberis wilsoniae,Berberis wilsoniae Hemsl.
Belgium,Bergenia ciliata,Bergenia ciliata (Haw.) Sternb.
Belgium,Bergenia crassifolia,Bergenia crassifolia (L.) Fritsch
Belgium,Berteroa incana,Berteroa incana (L.) DC.
Belgium,Beta macrocarpa,Beta macrocarpa Guss.
Belgium,Beta vulgaris,Beta vulgaris L.
Belgium,Beta vulgaris vulgaris,Beta vulgaris subsp. vulgaris
Belgium,Betonica macrantha,Betonica macrantha K.Koch
Belgium,Betula papyrifera,Betula papyrifera Marshall
Belgium,Biddulphia sinensis,"Biddulphia sinensis Greville, 1866"
Belgium,Bidens connata,Bidens connata Muhl. ex Willd.
Belgium,Bidens frondosa,Bidens frondosa L.
Belgium,Bidens frondosa var. anomala Porter ex Fernald,
Belgium,Bidens radiata,Bidens radiata Thuill.
Belgium,Bidens triplinervia,Bidens triplinervia Kunth
Belgium,Bidens triplinervia macrantha,Bidens triplinervia var. macrantha (Wedd.) Sherff
Belgium,Bidens vulgata,Bidens vulgata Greene
Belgium,Bipalium kewense,"Bipalium kewense Moseley, 1878"
Belgium,Bistorta affinis,Bistorta affinis (D.Don) Greene
Belgium,Blitum capitatum,Blitum capitatum L.
Belgium,Blitum virgatum,Blitum virgatum L.
Belgium,Blumenbachia hieronymi,Blumenbachia hieronymi Urb.
Belgium,Boccardia proboscidea,"Boccardia proboscidea Hartman, 1940"
Belgium,Boccardiella hamata,"Boccardiella hamata (Webster, 1879)"
Belgium,Boccardiella ligerica,"Boccardiella ligerica (Ferronnière, 1898)"
Belgium,Boettgerilla pallens,"Boettgerilla pallens Simroth, 1912"
Belgium,Bolboschoenus glaucus,Bolboschoenus glaucus (Lam.) S.G.Sm.
Belgium,Bolboschoenus yagara,Bolboschoenus yagara (Ohwi) Y.C.Yang & M.Zhan
Belgium,Bombycilla japonica,"Bombycilla japonica (Siebold, 1824)"
Belgium,Bonamia ostreae,"Bonamia ostreae Pichot, Comps, Tigé, Grizel & Rabouin, 1980"
Belgium,Bostrychia hagedash,"Bostrychia hagedash (Latham, 1790)"
Belgium,Bothriochloa decipiens,Bothriochloa decipiens (Hack.) C.E.Hubb.
Belgium,Bothriochloa ischaemum,Bothriochloa ischaemum (L.) Keng
Belgium,Botrychium simplex,Botrychium simplex E.Hitchc.
Belgium,Botrylloides violaceus,"Botrylloides violaceus Oka, 1927"
Belgium,Brachiaria plantaginea,Brachiaria plantaginea (Link) Hitchc.
Belgium,Brachypelma albopilosum,"Brachypelma albopilosum Valerio, 1980"
Belgium,Brachypodium distachyon,Brachypodium distachyon (L.) P.Beauv.
Belgium,Brachypodium phoenicoides,Brachypodium phoenicoides (L.) Roem. & Schult.
Belgium,Branchiodrilus hortensis,"Branchiodrilus hortensis (Stephenson, 1910)"
Belgium,Branchiura sowerbyi,"Branchiura sowerbyi Beddard, 1892"
Belgium,Branta canadensis,"Branta canadensis (Linnaeus, 1758)"
Belgium,Branta hutchinsii,"Branta hutchinsii (Richardson, 1832)"
Belgium,Branta leucopsis,"Branta leucopsis (Bechstein, 1803)"
Belgium,Branta sandvicensis,"Branta sandvicensis (Vigors, 1834)"
Belgium,Brassica barrelieri,Brassica barrelieri (L.) Janka
Belgium,Brassica carinata,Brassica carinata A.Braun
Belgium,Brassica elongata,Brassica elongata Ehrh.
Belgium,Brassica elongata integrifolia,Brassica elongata subsp. integrifolia (Boiss.) Breistr.
Belgium,Brassica oleracea,Brassica oleracea L.
Belgium,Brassica tournefortii,Brassica tournefortii Gouan
Belgium,Bratislavia dadayi,"Bratislavia dadayi (Michaelsen, 1905)"
Belgium,Briza maxima,Briza maxima L.
Belgium,Bromus alopecuros,Bromus alopecuros Poir.
Belgium,Bromus arenarius,Bromus arenarius Labill.
Belgium,Bromus carinatus,Bromus carinatus Hook. & Arn.
Belgium,Bromus danthoniae,Bromus danthoniae Trin.
Belgium,Bromus diandrus,Bromus diandrus Roth
Belgium,Bromus hordeaceus,Bromus hordeaceus L.
Belgium,Bromus hordeaceus longipedicellatus,Bromus hordeaceus subsp. longipedicellatus Spalton
Belgium,Bromus inermis,Bromus inermis Leyss.
Belgium,Bromus intermedius,Bromus intermedius Guss.
Belgium,Bromus lepidus,Bromus lepidus Holmb.
Belgium,Bromus marginatus,Bromus marginatus Nees ex Steud.
Belgium,Bromus polyanthus,Bromus polyanthus Scribn. ex Shear
Belgium,Bromus rigidus,Bromus rigidus Roth
Belgium,Bromus rubens,Bromus rubens L.
Belgium,Bromus sitchensis,Bromus sitchensis Trin.
Belgium,Broussonetia papyrifera,Broussonetia papyrifera (L.) Vent.
Belgium,Brunnera macrophylla,Brunnera macrophylla (Adams) I.M.Johnst.
Belgium,Bubo virginianus,"Bubo virginianus (J.F.Gmelin, 1788)"
Belgium,Bucephala albeola,"Bucephala albeola (Linnaeus, 1758)"
Belgium,Bucorvus leadbeateri,"Bucorvus leadbeateri (Vigors, 1825)"
Belgium,Buddleja albiflora,Buddleja albiflora Hemsl.
Belgium,Buddleja davidii,Buddleja davidii Franch.
Belgium,Bugula neritina,"Bugula neritina (Linnaeus, 1758)"
Belgium,Bugulina simplex,"Bugulina simplex (Hincks, 1886)"
Belgium,Bugulina stolonifera,"Bugulina stolonifera (Ryland, 1960)"
Belgium,Bunias orientalis,Bunias orientalis L.
Belgium,Bupleurum fruticosum,Bupleurum fruticosum L.
Belgium,Bupleurum gerardi,Bupleurum gerardi All.
Belgium,Buteo auguralis,"Buteo auguralis Salvadori, 1865"
Belgium,Buteo jamaicensis,"Buteo jamaicensis (Gmelin, 1788)"
Belgium,Bythotrephes longimanus,"Bythotrephes longimanus Leydig, 1860"
Belgium,Cabomba caroliniana,Cabomba caroliniana A.Gray
Belgium,Cacyreus marshalli,"Cacyreus marshalli Butler, 1898"
Belgium,Cadra cautella,"Cadra cautella (Walker, 1863)"
Belgium,Caenoplana bicolor,"Caenoplana bicolor (Graff, 1899)"
Belgium,Cairina moschata (Established Feral),
Belgium,Calandrinia ciliata,Calandrinia ciliata (Ruiz & Pav.) DC.
Belgium,Calandrinia compressa,Calandrinia compressa Schrad. ex DC.
Belgium,Calandrinia elegans,
Belgium,Calendula arvensis,Calendula arvensis L.
Belgium,Callicarpa bodinieri,Callicarpa bodinieri H.Lév.
Belgium,Callidiellum rufipennis,"Callidiellum rufipennis (Motschulsky, 1861)"
Belgium,Callinectes sapidus,"Callinectes sapidus Rathbun, 1896"
Belgium,Callipepla californica,"Callipepla californica (Shaw, 1798)"
Belgium,Callobius nomeus,"Callobius nomeus (Chamberlin, 1919)"
Belgium,Callonetta leucophrys,"Callonetta leucophrys (Vieillot, 1816)"
Belgium,Callopistria floridensis,"Callopistria floridensis Guenée, 1852"
Belgium,Callosciurus erythraeus,"Callosciurus erythraeus (Pallas, 1779)"
Belgium,Callosciurus prevostii,"Callosciurus prevostii (Desmarest, 1822)"
Belgium,Calocera pallidospathulata,Calocera pallidospathulata D.A.Reid
Belgium,Caloptilia azaleella,"Caloptilia azaleella (Brants, 1913)"
Belgium,Calyptospadix cerulea,"Calyptospadix cerulea Clarke, 1882"
Belgium,Calystegia silvatica,Calystegia silvatica (Kit.) Griseb.
Belgium,Camassia leichtlinii,Camassia leichtlinii (Baker) S.Watson
Belgium,Camassia leichtlinii suksdorfii,Camassia leichtlinii subsp. suksdorfii (Greenm.) Gould
Belgium,Camelina rumelica,Camelina rumelica Velen.
Belgium,Cameraria gaultheriella,"Cameraria gaultheriella (Walsingham, 1889)"
Belgium,Cameraria ohridella,"Cameraria ohridella Deschka & Dimic, 1986"
Belgium,Campanula fenestrellata,Campanula fenestrellata Feer
Belgium,Campanula lactiflora,Campanula lactiflora M.Bieb.
Belgium,Campanula latifolia,Campanula latifolia L.
Belgium,Campanula medium,Campanula medium L.
Belgium,Campanula portenschlagiana,Campanula portenschlagiana Schult.
Belgium,Campanula poscharskyana,Campanula poscharskyana Degen
Belgium,Campanula rhomboidalis,Campanula rhomboidalis L.
Belgium,Camponotus vagus,"Camponotus vagus (Scopoli, 1763)"
Belgium,Campylopus introflexus,"Campylopus introflexus Bridel, 1819"
Belgium,Caprella mutica,"Caprella mutica Schurin, 1935"
Belgium,Caracara cheriway,"Caracara cheriway (Jacquin, 1784)"
Belgium,Caragana halodendron,Caragana halodendron (Pall.) Dum.Cours.
Belgium,Carassius auratus,"Carassius auratus (Linnaeus, 1758)"
